name,p4_url,http_status,n_outgal,complexity_rank,best_outgal,all_outgals,error
PGC029653,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC029653/P4/,200,3,3,PGC029653_d.outgal,"[""PGC029653_d.outgal"", ""PGC029653_onecomp.outgal"", ""PGC029653_twocomp.outgal""]",
PGC031979,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC031979/P4/,200,3,3,PGC031979_bd.outgal,"[""PGC031979_bd.outgal"", ""PGC031979_onecomp.outgal"", ""PGC031979_twocomp.outgal""]",
PGC032091,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC032091/P4/,200,3,3,PGC032091_bdbarf.outgal,"[""PGC032091_bdbarf.outgal"", ""PGC032091_onecomp.outgal"", ""PGC032091_twocomp.outgal""]",
PGC033447,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC033447/P4/,404,0,0,,[],
PGC033523,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC033523/P4/,404,0,0,,[],
PGC034407,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC034407/P4/,404,0,0,,[],
PGC034493,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC034493/P4/,404,0,0,,[],
PGC034625,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC034625/P4/,404,0,0,,[],
PGC035111,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC035111/P4/,404,0,0,,[],
PGC035451,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC035451/P4/,404,0,0,,[],
PGC035570,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC035570/P4/,404,0,0,,[],
PGC035684,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC035684/P4/,200,3,3,PGC035684_d.outgal,"[""PGC035684_d.outgal"", ""PGC035684_onecomp.outgal"", ""PGC035684_twocomp.outgal""]",
PGC035705,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC035705/P4/,200,3,3,PGC035705_d.outgal,"[""PGC035705_d.outgal"", ""PGC035705_onecomp.outgal"", ""PGC035705_twocomp.outgal""]",
