name,complexity_rank,n_components,logmstar,m_i,dist_mpc,t,incl_deg,type,sample,mi_source,max_component_extent_kpc,size_pixels_cut
NGC5574,3,3,10.117,-20.20161750946608,23.57,0.0,65.6,E-S0,S4G,predicted_B,4.461639744199115,115
NGC5604,3,3,10.571,-21.297037131085666,41.8,4.0,64.9,Sa,S4G,predicted_B,15.731802644600108,407
NGC5701,3,3,10.255,-20.533255378301988,15.39,0.0,40.6,S0-a,S4G,predicted_B,4.458795467897093,115
NGC5713,3,3,10.537,-21.331257957511006,20.72,9.0,48.2,SABb,S4G,predicted_B,3.473552822878071,89
NGC5728,3,3,10.877,-22.0243091102896,29.8,0.0,59.1,Sa,S4G,predicted_B,14.602327948238624,377
NGC5740,3,3,10.422,-21.006356055602247,26.42,2.0,63.9,SABb,S4G,predicted_B,3.824311176939349,99
NGC5750,3,4,10.663,-21.545071070594595,30.09,0.0,66.5,S0-a,S4G,predicted_B,5.857180977108435,151
NGC5757,3,3,10.817,-21.80942658736109,39.5,1.7,50.6,Sb,S4G,predicted_B,5.572466213440279,143
NGC5762,3,3,9.919,-19.752487308196557,33.62,-2.0,46.6,Sab,S4G,predicted_B,5.063371475217199,131
NGC5774,3,3,9.804,-19.60167185474272,21.59,7.0,52.5,SABc,S4G,predicted_B,5.8968267113265584,153
NGC5806,3,3,10.591,-21.352135683910948,24.63,2.0,60.4,Sb,S4G,predicted_B,4.40264057240295,113
NGC5850,3,3,10.521,-21.186273887680386,18.7,1.5,46.9,Sb,S4G,predicted_B,7.578868181076364,195
NGC5885,3,3,10.26,-20.66583509771953,22.05,5.0,33.3,SABc,S4G,predicted_B,4.846482820841486,125
NGC5899,3,3,10.932,-22.183776004646184,38.56,4.0,68.9,Sc,S4G,predicted_B,6.391760354350608,165
NGC5921,3,3,10.348,-20.866554786675344,17.37,3.0,49.5,Sbc,S4G,predicted_B,4.2663908364718335,111
NGC5957,3,4,10.19,-20.274162371478017,24.3,1.5,17.5,Sb,S4G,predicted_B,7.109112961051455,183
NGC5962,3,3,10.81,-21.944468016130937,30.75,5.0,50.8,Sc,S4G,predicted_B,4.18247771043779,107
NGC5963,3,3,10.15,-20.397873106565857,27.18,4.5,39.3,Sbc,S4G,predicted_B,3.339579356910757,87
NGC5970,3,3,10.523,-21.342998627402004,26.48,5.0,47.7,SBc,S4G,predicted_B,3.761119454999226,97
NGC5985,3,2,11.021,-22.47965287737521,37.3,2.5,63.3,Sb,S4G,predicted_B,10.652876825130617,275
NGC6012,3,3,10.017,-20.01182513586323,19.53,2.0,46.9,SBab,S4G,predicted_B,3.7182169113364987,97
NGC6014,3,3,10.253,-20.535478521367896,31.94,-0.5,41.4,S0,S4G,predicted_B,3.5885028608297524,93
NGC6181,3,3,10.744,-21.793888424655677,31.28,4.7,68.2,SABc,S4G,predicted_B,3.3257181078435023,85
NGC6217,3,3,10.4,-21.005848889222328,20.64,3.0,44.8,Sbc,S4G,predicted_B,3.9025562074593205,101
NGC6267,3,3,10.602,-21.42798995259724,53.95,3.0,41.5,Sc,S4G,predicted_B,7.3889368262282265,191
NGC6434,3,3,10.355,-20.98472023386589,39.45,3.0,69.4,Sbc,S4G,predicted_B,4.64907435236664,121
NGC6889,3,3,10.009,-20.10332377398594,35.33,3.5,53.1,SBbc,S4G,predicted_B,3.5539553566827613,91
NGC6902,3,3,10.798,-22.039352500701575,36.79,1.5,40.2,SBab,S4G,predicted_B,13.46154675274984,347
NGC6923,3,3,10.716,-21.657357648268295,33.5,3.5,64.5,SBb,S4G,predicted_B,5.061510282584607,131
NGC7079,3,3,10.425,-21.004561948039715,24.72,-2.0,61.9,S0,S4G,predicted_B,3.1110733076473798,81
NGC7098,3,4,10.818,-21.82757926205844,29.1,0.0,65.3,Sa,S4G,predicted_B,10.971010172424194,283
NGC7140,3,3,10.558,-21.40210682120734,30.16,2.5,48.9,SABb,S4G,predicted_B,7.895869536022346,203
NGC7154,3,3,10.001,-20.166022886956895,27.37,8.0,34.5,I,S4G,predicted_B,3.9976009346856642,103
NGC7163,3,3,10.289,-20.462886440799867,33.85,1.0,66.1,Sab,S4G,predicted_B,5.094437202325892,131
NGC7179,3,3,10.624,-21.48794990550628,45.9,0.0,63.8,SBbc,S4G,predicted_B,6.175193059712437,159
NGC7191,3,3,10.197,-20.45255257037647,36.2,3.0,69.6,SABc,S4G,predicted_B,4.130167267936396,107
NGC7218,3,3,10.175,-20.495326851786345,22.44,7.0,67.7,Sc,S4G,predicted_B,3.5831439392996502,93
NGC7219,3,3,10.477,-21.162447518722047,41.17,0.5,58.3,SABa,S4G,predicted_B,6.023624451963507,155
NGC7280,3,3,10.197,-20.395027419540916,23.15,-3.0,58.6,S0-a,S4G,predicted_B,3.3605266757001964,87
NGC7371,3,3,10.471,-21.152782676115855,30.6,2.0,25.2,S0-a,S4G,predicted_B,4.036682416127017,105
NGC7418,3,3,10.36,-20.908443351523545,18.06,5.0,39.9,Sc,S4G,predicted_B,5.636656360661948,145
NGC7418A,3,3,9.486,-19.06664664797167,31.2,2.5,61.1,Scd,S4G,predicted_B,4.6125981134379455,119
NGC7421,3,3,10.341,-20.87195401026397,27.75,2.0,36.1,Sbc,S4G,predicted_B,4.571903846548835,119
NGC7479,3,3,10.948,-22.25273330102171,28.28,3.0,43.0,SBbc,S4G,predicted_B,11.188183965981283,289
NGC7513,3,3,10.213,-20.44332130728964,19.11,1.0,55.7,SBb,S4G,predicted_B,4.920332654855591,127
NGC7531,3,3,10.457,-21.13967199508351,22.31,1.0,68.9,SABb,S4G,predicted_B,5.574057577581464,143
NGC7552,3,3,10.37,-20.81436943607127,11.53,1.0,23.6,Sab,S4G,predicted_B,4.457840432063256,115
NGC7582,3,3,10.939,-22.173399636591284,21.2,1.0,68.2,SBab,S4G,predicted_B,11.878370695313372,307
NGC7723,3,3,10.748,-21.81641416092118,28.04,2.5,47.1,SBb,S4G,predicted_B,5.314881363794617,137
NGC7724,3,3,10.158,-20.417662079676873,37.62,1.0,49.2,SBb,S4G,predicted_B,4.405497554049611,113
NGC7731,3,3,9.862,-19.626049596617076,31.3,1.5,45.5,SBa,S4G,predicted_B,3.341367845922586,87
NGC7742,3,2,10.492,-21.201272422795427,25.78,-1.0,16.8,Sb,S4G,predicted_B,17.824718568787624,461
NGC7755,3,3,10.561,-21.341219849293985,28.35,3.5,53.7,Sc,S4G,predicted_B,6.920081019020027,179
NGC7757,3,3,9.654,-19.231977815739874,19.7,5.5,44.0,Sc,S4G,predicted_B,3.8204534388672187,99
PGC006626,3,3,9.248,-18.3489865985573,19.8,6.0,44.4,I,S4G,predicted_B,5.480618837676356,141
PGC032091,3,3,9.734,-19.410038075649776,33.81,5.5,25.6,SABc,S4G,predicted_B,3.92311679152762,101
PGC036217,3,3,9.764,-19.43159611027289,27.3,5.5,42.2,Sc,S4G,predicted_B,4.7006805697137635,121
PGC042868,3,3,9.898,-19.882359617028428,25.4,5.5,26.9,SABd,S4G,predicted_B,7.258484913747015,187
PGC047721,3,3,10.403,-20.70022700257562,31.16,1.5,56.7,Sbc,S4G,predicted_B,4.658292049388944,121
PGC048087,3,3,9.821,-19.600539115736357,36.5,5.0,25.6,SBd,S4G,predicted_B,5.28667162973228,137
PGC050229,3,3,9.487,-18.618919632016517,21.75,10.0,64.5,Sa,S4G,predicted_B,4.3160733108585365,111
PGC051291,3,3,9.311,-18.476641739874413,33.95,10.0,69.3,Sab,S4G,predicted_B,3.900315750115152,101
PGC053779,3,3,9.485,-18.702924838084137,19.3,6.0,47.4,SABb,S4G,predicted_B,3.4210061299911327,89
PGC072252,3,3,9.479,-18.960483093669822,25.21,4.5,59.0,SBc,S4G,predicted_B,3.024982842940922,79
PGC1063216,3,3,9.238,-18.30643192529815,36.65,5.5,43.0,--,S4G,predicted_B,4.108369977982752,107
UGC01551,3,3,9.99,-20.02865874761813,35.6,5.5,56.8,SBc,S4G,predicted_B,6.518460101508118,169
UGC05688,3,2,9.617,-19.25863209188802,30.8,10.0,62.7,Sm,S4G,predicted_B,9.097958974072036,235
UGC05814,3,3,11.397,-23.246923550455406,157.6,0.5,60.3,Sab,S4G,predicted_B,13.32359573943888,345
UGC06309,3,3,10.466,-21.100202616383196,48.6,5.0,48.8,SBc,S4G,predicted_B,5.739150998306403,149
UGC06780,3,2,9.649,-19.21037756618347,38.77,6.0,53.0,SABc,S4G,predicted_B,15.027428345937876,389
UGC08041,3,3,9.493,-18.728503795359476,15.29,5.0,54.0,SBcd,S4G,predicted_B,4.294183369001267,111
UGC08056,3,3,9.326,-18.464282277573194,38.8,7.0,57.8,SBc,S4G,predicted_B,4.879051037336948,125
UGC08658,3,3,9.872,-19.88980662560723,29.96,4.0,53.9,Sc,S4G,predicted_B,4.976176379250588,129
UGC09291,3,3,10.055,-20.20737808495226,38.84,4.5,62.9,Sc,S4G,predicted_B,5.323681932513672,137
UGC12707,3,3,9.63,-19.11290417743014,37.08,5.5,57.7,Sbc,S4G,predicted_B,4.928709651062013,127
