name,complexity_rank,n_components,logmstar,m_i,dist_mpc,t,incl_deg,type,sample,mi_source,max_component_extent_kpc,size_pixels_cut
NGC1015,3,3,10.483,-21.08624086184734,35.1,0.0,34.2,Sa,S4G,predicted_B,6.879185095976471,177
NGC1022,3,3,10.483,-21.149127767997417,22.25,-0.5,59.9,SBa,S4G,predicted_B,3.8151075761189275,99
NGC1068,3,3,11.044,-22.40009065954652,10.58,0.5,24.1,Sb,S4G,predicted_B,12.338956721016617,319
NGC1076,3,3,10.21,-20.452582091888022,30.8,3.0,50.7,S0-a,S4G,predicted_B,4.767281107548818,123
NGC1079,3,4,10.583,-21.344925635418313,25.2,-1.0,61.6,SABa,S4G,predicted_B,4.6709365157758835,121
NGC1097,3,4,11.173,-22.799382808127408,17.16,2.2,55.0,SBb,S4G,predicted_B,11.43597210882943,295
NGC1179,3,3,9.768,-19.480497461084735,15.91,6.0,48.0,Sc,S4G,predicted_B,5.2945095702647205,137
NGC1187,3,3,10.412,-21.039998392832935,16.63,4.0,44.3,Sc,S4G,predicted_B,4.655034745644188,121
NGC1232,3,3,10.622,-21.5926399631242,15.43,5.0,32.6,SABc,S4G,predicted_B,6.495743055140368,167
NGC1249,3,3,9.767,-19.579324745350092,15.5,8.5,69.0,SBc,S4G,predicted_B,4.2474592627145435,109
NGC1291,3,3,10.185,-20.38576689487127,4.4,-1.0,29.4,S0-a,S4G,predicted_B,5.050120142498444,131
NGC1300,3,3,10.44,-21.07160760444635,14.79,3.0,61.8,Sbc,S4G,predicted_B,7.4992611294544345,193
NGC1302,3,4,10.105,-20.198636594799094,11.21,-1.0,25.9,S0-a,S4G,predicted_B,3.65790212002076,95
NGC1309,3,3,10.496,-21.33028443529411,28.13,4.0,20.8,Sbc,S4G,predicted_B,3.140943267767087,81
NGC1326,3,3,10.488,-21.122778401376028,14.95,-1.0,52.9,S0-a,S4G,predicted_B,4.560985824132168,117
