name,ra,dec,sample,type,cvrhs,t,incl_deg,dist_mpc,distmod,mabs1_3p6,logmstar,btot_app,b_abs,m_i,mi_source,mabs3_real,p4_url
NGC6015,237.85512,62.310045,S4G,Sc,S\underline{A}B_a_(s)cd,6.0,65.7,14.76,30.845431787435118,-19.914,10.152,11.606,-19.239431787435116,-20.425476470047254,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC6015/P4/
NGC6063,241.804177,7.979013,S4G,Sc,SA(s)bc,4.0,60.2,46.17,33.321799372755706,-20.275,10.296,14.019,-19.302799372755707,-20.71653285259759,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC6063/P4/
NGC6070,242.494549,0.709305,S4G,Sc,"SA(r\underline{s},nrl)c",5.0,59.8,28.65,32.28562313151704,-21.328,10.717,12.416,-19.86962313151704,-21.655281435906506,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC6070/P4/
NGC6106,244.696615,7.410886,S4G,Sc,S\underline{A}B(s)c,5.0,59.2,22.27,31.738601085170195,-19.608,10.029,12.791,-18.947601085170195,-20.122806255014996,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC6106/P4/
NGC6118,245.452571,-2.283432,S4G,Sc,SAB(s)cd,6.0,68.7,20.64,31.573548464775868,-20.745,10.484,12.44,-19.13354846477587,-21.03630888922233,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC6118/P4/
NGC6140,245.241847,65.390646,S4G,Sc,SB(r\underline{s})d,7.0,32.2,11.52,30.307262395435963,-18.263,9.491,12.254,-18.053262395435965,-18.883711662927453,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC6140/P4/
NGC3718,173.145228,53.067944,S4G,Sa,"S\underline{A}B(r,l,nl)a pec",1.0,66.5,14.67,30.83215056921641,-20.553,10.407,11.524,-19.30815056921641,-20.93046038376586,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC3718/P4/
NGC3726,173.338078,47.029241,S4G,Sc,SA\underline{B}(r)bc,4.0,49.2,13.92,30.718196176372714,-20.451,10.366,10.683,-20.035196176372715,-21.02328610144759,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC3726/P4/
NGC3729,173.455785,53.125554,S4G,Sa,(L)SB(r)0/a,0.0,46.9,20.16,31.522452638867435,-20.406,10.349,11.722,-19.800452638867434,-20.933696370133845,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC3729/P4/
NGC3738,173.95238,54.523905,S4G,I,dIm (dE) / Sph,10.0,50.0,4.21,28.121410479178344,-15.975,8.576,11.553,-16.568410479178343,-16.78445146260691,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC3738/P4/
NGC3755,174.138961,36.410322,S4G,SABc,(R')SAB(s)c pec,5.0,69.1,33.48,32.623927246606115,-19.661,10.051,13.789,-18.834927246606114,-20.136872902952437,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC3755/P4/
NGC3756,174.200202,54.293545,S4G,SABb,SA(s)bc,4.0,62.2,19.45,31.444598028308633,-20.168,10.253,12.08,-19.364598028308635,-20.64920053665253,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC3756/P4/
NGC3757,174.262003,58.415546,S4G,S0,S\underline{A}B(l)0^{-/o}^,-2.5,45.7,16.65,31.107071189211695,-18.756,9.689,13.397,-17.710071189211696,-19.18020672946475,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC3757/P4/
NGC3773,174.553946,12.112163,S4G,S0,SA0^{-/o}^: pec,-2.5,44.1,17.05,31.15862191664258,-17.964,9.372,13.505,-17.653621916642578,-18.561061150411003,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC3773/P4/
NGC4587,189.647625,2.657311,ETG,S0,SA(l)0^o sp / E4,-2.0,69.8,17.2,31.177642234537743,-18.343,9.524,13.792,-17.38564223453774,-18.78802092511637,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC4587/P4/
ESO545-016,36.49725,-21.42161,S4G,SABm,(R)SA(s:)dm,8.0,45.1,18.4,31.324089115047684,-16.681,8.859,14.511,-16.813089115047685,-17.382040942036205,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO545-016/P4/
ESO547-005,45.8955,-18.36709,S4G,IB,SABd\underline{m}:,8.5,62.0,17.1,31.164980551960767,-15.905,8.548,15.468,-15.696980551960767,-16.526115429710778,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO547-005/P4/
ESO547-020,48.239985,-17.929781,S4G,SBm,I\underline{A}B(s:)m,10.0,50.6,26.72,32.13418226901754,-16.775,8.896,15.491,-16.643182269017544,-17.41402283321912,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO547-020/P4/
ESO548-005,50.945813,-19.754367,S4G,SABm,SAB(r\underline{s})d\underline{m},8.5,19.5,21.9,31.702220574200595,-17.586,9.22,14.0,-17.702220574200595,-18.283311834937138,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO548-005/P4/
IC0101,21.035722,9.930381,S4G,Sb,SA(s)a,1.0,65.5,38.33,32.91769409627176,-18.751,9.687,15.068,-17.84969409627176,-19.209193112623865,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/IC0101/P4/
IC0167,27.785705,21.912753,S4G,Sc,SA\underline{B}(s)cd,6.0,56.0,22.24,31.735673914550098,-18.188,9.461,13.628,-18.107673914550098,-18.83912336991927,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/IC0167/P4/
IC0529,139.636778,73.759327,S4G,Sc,S\underline{A}B(s)\underline{c}d,5.5,63.8,27.82,32.22178562828014,-20.133,10.239,12.601,-19.62078562828014,-20.68262962264583,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/IC0529/P4/
IC0600,154.295366,-3.498385,S4G,SBd,SB(s:)m,9.0,68.4,21.67,31.67929455659909,-18.025,9.396,13.749,-17.930294556599087,-18.672744220800784,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/IC0600/P4/
IC0749,179.641973,42.734048,S4G,Sc,SB(rs)cd,6.0,37.7,27.27,32.17842568970815,-19.999,10.186,12.847,-19.331425689708148,-20.512120037081413,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/IC0749/P4/
ESO570-019,170.050398,-21.470563,S4G,Sc,SA0/a:,0.0,59.7,27.85,32.22412599754874,-18.103,9.427,14.397,-17.82712599754874,-18.708169609423955,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO570-019/P4/
ESO572-018,178.961221,-18.196321,S4G,Sc,SAB(rs)b:,3.0,65.2,24.57,31.952025782400405,-18.492,9.583,13.911,-18.041025782400403,-19.056021058864097,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO572-018/P4/
ESO572-030,179.606343,-22.440118,S4G,SBm,SB(s:)m,9.0,68.5,18.69,31.358046506894162,-17.241,9.083,14.007,-17.351046506894164,-17.93686092912013,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO572-030/P4/
ESO576-001,197.598995,-21.684189,S4G,Sb,S\underline{A}B(r)a,1.0,68.2,85.6,34.66236882338577,-21.247,10.685,14.848,-19.81436882338577,-21.580331673495657,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/ESO576-001/P4/
NGC4699,192.259168,-8.664333,S4G,SABb,(R')SB(l)0/a / E1,0.0,42.6,19.66,31.467917567480583,-22.455,11.168,10.383,-21.084917567480584,-22.803030628357938,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC4699/P4/
NGC4701,192.298304,3.388723,S4G,Sc,SA(s)\underline{b}c:,3.5,43.3,22.17,31.72882846557244,-19.491,9.982,12.817,-18.91182846557244,-20.024894689409525,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC4701/P4/
NGC4707,192.09555,51.1659,S4G,Sm,Im,10.0,26.2,6.78,29.156148469335314,-14.431,7.959,13.434,-15.722148469335314,-15.404419890293799,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC4707/P4/
NGC4713,192.4912,5.311358,S4G,Scd,SAB(rs)\underline{c}d,5.5,23.8,13.82,30.7025402151909,-18.882,9.739,12.219,-18.4835402151909,-19.458361950569863,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC4713/P4/
NGC4723,192.76245,-13.23633,S4G,SABm,Im,10.0,68.2,16.25,31.054266826574462,-16.107,8.629,15.16,-15.894266826574462,-16.727007704244997,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC4723/P4/
NGC4725,192.61073,25.500699,S4G,SABa,"(R')SAB_x_(r,nb)a",1.0,45.4,13.08,30.583038719941243,-21.668,10.853,9.924,-20.659038719941243,-22.100894099186192,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC4725/P4/
NGC4733,192.778235,10.912114,S4G,E,SB(r\underline{l})0^+^,-1.0,27.6,14.97,30.876109001715264,-19.174,9.856,12.7,-18.176109001715265,-19.609495615403087,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC4733/P4/
NGC4736,192.721,41.120213,S4G,Sab,"(R)SA(rl,\underline{r}s,nl,nb)a",1.0,31.7,5.13,28.55058682555908,-20.944,10.564,8.707,-19.84358682555908,-21.355402904006382,predicted_B,nan,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC4736/P4/
