# object_id,ra,dec,g_inputcount_value,r_inputcount_value,i_inputcount_value,z_inputcount_value,y_inputcount_value,g_localbackground_flux,r_localbackground_flux,i_localbackground_flux,z_localbackground_flux,y_localbackground_flux,g_apertureflux_10_flux,g_apertureflux_10_fluxerr,r_apertureflux_10_flux,r_apertureflux_10_fluxerr,i_apertureflux_10_flux,i_apertureflux_10_fluxerr,z_apertureflux_10_flux,z_apertureflux_10_fluxerr,y_apertureflux_10_flux,y_apertureflux_10_fluxerr,g_apertureflux_20_flux,g_apertureflux_20_fluxerr,r_apertureflux_20_flux,r_apertureflux_20_fluxerr,i_apertureflux_20_flux,i_apertureflux_20_fluxerr,z_apertureflux_20_flux,z_apertureflux_20_fluxerr,y_apertureflux_20_flux,y_apertureflux_20_fluxerr
3496011569723092146,150.34854053326984,2.384467589488855,4,5,5,5,5,0.12844725,0.08765594,0.043290045,0.203828,-0.37610275,0.071151845,11.637119,15.584693,14.207551,-4.38919,16.00504,13.115776,33.403362,131.57155,73.74609,5.225156,23.662931,43.44639,28.708998,55.367966,32.556828,49.921524,67.884514,151.76263,149.64287
3496011569723092147,150.39735345782972,2.4278159433402653,4,4,6,6,6,0.19375527,0.16719256,0.030682804,0.37347773,-0.08625799,-24.995874,13.613065,-3.790474,16.821619,13.294223,15.306088,-59.712334,30.528944,-5.970393,67.38863,-6.076996,27.920618,5.995385,33.93812,-14.50855,31.076357,-76.55053,61.86891,114.24835,136.72197
3496011569723092152,150.41262291731306,2.391694671805002,5,5,6,6,6,-0.022323344,0.025482867,-0.15617879,0.1945461,-0.33390906,-10.979729,10.670855,8.9595,12.469532,-12.121271,15.716861,-29.415249,30.49845,14.776678,71.84605,-23.033676,21.7318,2.579723,25.386076,-48.71081,31.963156,-62.98526,62.02777,-102.42922,145.82947
3496011569723092156,150.38207861548415,2.413397739793046,5,5,5,5,5,0.0028045452,0.29406127,0.7136115,1.2017372,-1.0873492,-8.924858,12.182515,-6.345076,14.406368,9.992346,18.87192,56.26909,36.752174,-6.6032677,87.01106,-21.578201,24.66081,4.941691,29.235907,11.053103,37.638676,73.87399,74.58617,7.4395123,176.7773
3496011569723092158,150.52433713064315,2.3509841255246373,2,3,8,8,8,0.13050278,0.14144255,0.16593754,0.21510836,0.20505573,0.91345394,15.796306,8.983839,20.421803,4.2221265,14.044377,6.826542,29.051924,-10.476228,60.453396,-8.661767,32.02144,10.186113,41.414017,-7.6390777,28.439335,8.143739,58.327415,77.42117,122.78994
3496011569723092159,150.4511488403839,2.3871695819983407,4,4,7,8,7,0.18279153,0.33855715,0.5880521,0.7346958,1.2230693,15.940868,15.331108,23.92551,16.364727,-14.67469,15.873401,12.754919,28.872585,37.398205,68.12417,35.870777,31.021477,44.544197,32.97219,4.669638,31.87698,70.86795,58.201214,-183.66714,137.63464
3496011569723092163,150.38400533483977,2.469065673477323,6,6,8,7,7,-0.07079021,-0.13868071,-0.1839417,-0.15802315,-0.35399824,7.344993,9.684311,1.2842995,12.462308,-6.5596237,13.924192,4.2811027,30.869785,24.068031,63.88066,-22.507904,19.576992,-10.935982,25.244162,-39.499348,28.039883,42.92113,61.918495,11.554052,129.03247
3496015967769602937,150.24709314312292,2.412844351919386,5,5,5,5,5,0.10000697,0.08420099,-0.010084472,0.1000593,0.6135877,-8.45802,11.2221775,-10.494808,13.689534,3.6923945,18.84223,42.621845,35.945522,-109.14721,101.30374,-9.584706,22.718988,-39.724285,27.81893,8.113403,38.27831,5.807177,73.0197,-48.941982,196.18474
3496015967769602938,150.3081426396047,2.4706622055137673,6,6,7,6,6,-0.0051929387,0.027482253,0.08194797,-0.069903225,0.89058226,0.5875502,11.5697155,12.571681,12.4035425,-8.2892685,15.76469,-13.078055,29.523811,-91.127815,76.38604,-11.845668,23.16729,-14.682602,25.44371,-3.4733357,31.8837,-28.79359,59.942146,-135.1553,153.98639
3496015967769602941,150.23490169187312,2.4923164241184095,5,5,6,5,5,-0.042772856,-0.09430055,-0.034486964,-0.083070755,0.09925493,6.318711,11.29415,-19.423021,13.646988,14.559627,17.24603,-25.33449,36.78492,-198.13048,79.357956,27.95981,22.885647,-1.2834482,27.725382,3.1875806,35.179222,-83.45048,74.59583,-297.1295,161.52658
3496015967769602942,150.33256926709404,2.4273082168467246,5,5,5,5,5,0.22177932,0.2794047,0.17467079,0.29383424,-0.42345035,2.4776456,12.076151,18.621794,14.493973,0.6414816,17.000818,-10.151204,31.830954,67.60712,75.6015,7.8173585,24.522278,-2.2812526,29.252264,24.275774,34.494934,53.95806,64.59544,58.53134,153.50024
3496015967769602944,150.3142576886978,2.38395633615044,3,4,6,6,6,0.10746697,0.08448709,0.26137945,0.20482883,0.0021068093,14.689924,13.162057,-9.307507,15.39802,-0.12643161,14.763098,18.26708,29.720299,218.98328,67.71843,-37.922417,26.733103,-15.10437,31.467176,8.634968,30.052746,47.367554,60.381817,82.631615,137.0048
3496015967769602945,150.16778052012447,2.463427949445421,5,5,8,7,7,0.037630107,0.11047586,0.013810068,-0.10496492,0.08787106,17.528927,10.304865,32.109646,14.310426,42.520924,13.787321,4.546628,28.802622,7.5872917,64.129196,16.067045,20.949137,69.552895,29.068676,32.69814,28.33852,-30.770817,58.30233,-3.6846676,130.27463
3496015967769602947,150.33864489958148,2.485126856166898,7,7,8,7,7,0.11533466,0.1613793,0.23409793,0.23756689,0.36220816,-3.3433197,10.653494,22.612188,13.463204,-19.059397,15.149936,-36.52283,29.06093,3.2982984,67.351875,-6.2676816,21.50832,-20.182554,27.429293,-49.141796,30.80382,41.51242,59.096375,-33.91388,136.81398
3496015967769602951,150.26848466118773,2.3646845663456304,5,5,7,7,7,0.07172508,0.12466973,0.14470841,0.1437303,-0.04699119,-8.590291,11.32335,-0.82548285,16.062346,14.6655655,14.230333,44.121357,28.352985,80.56907,63.849487,-27.867935,22.901743,-37.805103,32.525272,19.855934,29.246971,42.209293,57.485558,-2.5591605,129.68106
3496015967769602954,150.29286910210865,2.4875091556481634,5,6,6,7,6,-0.062086724,0.033750687,0.15828073,0.3624538,0.24687025,-6.8148055,10.558165,7.1362815,12.8216305,-7.871933,15.226871,2.2146342,29.115881,49.80075,67.167,-22.608032,21.43248,15.208109,26.014732,34.375584,30.957083,0.83259183,59.246277,-8.398159,136.37534
3496015967769602956,150.15866710857455,2.509170007609098,5,5,6,5,5,0.05050649,0.0071470565,0.046775516,-0.064978965,0.4258818,-7.0302935,12.169614,18.521156,12.751632,5.7786765,17.055685,21.692142,33.79838,-26.634495,80.237114,-5.3483186,24.526917,-31.179573,25.716583,26.267494,34.522785,133.84291,69.392654,101.39542,161.71426
3496015967769602957,150.23186675542837,2.379104538071604,4,4,7,6,7,0.017740933,-0.07088229,-0.04235359,-0.4974097,-0.21587451,10.559569,12.824046,-1.0495522,15.09507,1.3074608,16.977951,-70.45957,32.03062,-138.59306,73.62583,21.654099,26.026102,0.96129495,30.695822,-15.018247,34.469574,-55.67115,65.03467,-98.60693,149.538
3496015967769602960,150.16470411178173,2.350215644837104,5,5,7,8,7,0.009077978,0.07640502,0.17515619,-0.044996604,0.73367244,11.358235,10.303304,-3.86845,12.46352,17.102573,15.048652,6.75049,29.439968,134.03758,65.01903,0.5728652,21.280201,-6.105326,25.263168,57.792393,30.553143,-2.112425,59.243126,195.1431,131.6672
3496015967769602961,150.23793824227982,2.4369240401989787,4,4,5,5,5,0.14962229,0.23742282,0.21890752,0.41336873,0.11865735,-4.676485,13.182165,-9.115705,15.594577,5.397597,16.707012,-2.5199013,32.655735,35.820248,73.81211,8.816681,26.653852,5.9784083,31.615376,-14.718375,33.92969,41.145367,66.3684,-90.41827,149.63863
3496015967769602962,150.33563506741064,2.3719137179710037,5,5,7,7,6,0.10781348,0.13591924,0.15824206,-0.061504245,-0.10877563,1.912664,10.4970455,24.950388,14.193173,29.640764,16.275936,23.974703,36.946556,-86.33014,69.88229,25.029778,21.124416,31.023973,28.518229,48.733124,32.489994,-110.32206,74.61798,-144.07684,142.04643
3496015967769602963,150.28679416728806,2.388764014234073,5,5,6,6,6,0.23166728,0.27708095,0.3555637,0.3864102,1.0804284,-1.6439385,10.318586,1.9187635,13.944189,26.724894,14.923872,7.172658,30.095345,102.26668,67.456024,-20.530598,21.025877,-16.768702,28.932285,63.491367,30.31119,74.18846,61.198803,-84.950554,136.99397
3496015967769602966,150.32339950624248,2.432125061517252,3,3,5,5,5,0.16030313,0.24033456,0.3028806,0.440618,-0.2828686,27.38424,18.589283,-4.9453344,21.83763,-5.5124197,18.289225,3.6967764,35.210094,-26.286839,81.5692,55.354362,37.06833,13.668893,43.40743,-4.542365,36.75962,123.9084,70.84754,-123.2973,163.95929
3496015967769602967,150.17694020977362,2.3670628901586803,5,5,8,8,8,0.05924732,0.1151954,0.022615744,0.4723288,0.3984683,-6.578729,11.246792,9.710222,13.585582,-11.495459,14.197306,-11.487581,28.493975,18.4979,67.07187,-18.01898,22.77485,6.331328,27.512804,-30.545698,28.890894,-27.833036,58.112415,37.79964,136.50592
3496015967769602970,150.31883275325768,2.338176380282227,3,3,6,6,6,0.1965669,0.16788507,0.27451178,0.37657884,0.36634424,-13.413417,12.959905,-20.136393,15.699639,-0.41011712,15.066046,-19.307793,31.966444,-108.993706,75.097824,21.835897,26.443241,-62.5542,32.067535,-10.417753,30.654367,-19.665792,65.06947,-68.86298,152.93828
3496015967769602971,150.17235667518793,2.4899343739579907,5,5,8,7,7,0.016526492,0.08066719,0.02661438,0.104580134,0.6506445,-0.56849754,10.455249,-5.782915,13.24555,-22.270908,14.3370075,40.60586,30.177074,95.32735,67.997055,-24.647259,21.226654,-2.9008737,27.0153,19.524189,29.216154,-67.94416,61.30993,295.96866,138.07637
3496015967769602973,150.19674092715857,2.4465829716279366,5,5,8,7,7,0.060741298,0.13749853,0.12475934,0.20797329,0.14240316,15.847685,10.246302,8.434642,13.668068,-21.481602,15.407367,-37.093616,33.249332,-22.08703,76.58059,-13.126618,20.745377,-36.812508,27.73052,-41.03239,31.025204,-90.38405,67.34936,-71.24804,155.0196
3496015967769602974,150.20897827317208,2.4610031615738217,4,4,7,6,6,0.0292777,0.07212199,0.08672899,0.03294305,0.5694275,-12.62117,11.989694,-5.2223516,14.550702,28.360617,15.875714,-5.7147775,33.16869,-56.463406,84.319984,17.949652,24.343206,-51.318184,29.473457,34.2882,32.69897,-3.4602404,67.22097,21.90509,171.55844
3496015967769602976,150.33102367668172,2.352642306635515,5,5,6,6,6,0.089562826,0.27491614,0.32629657,0.065339915,0.14464994,1.95968,10.402666,3.6423233,12.365564,-29.26659,15.97347,-59.470795,30.917118,30.405283,70.38391,8.720625,21.531605,-29.913424,25.16584,-9.184109,32.471474,-50.45669,63.019413,125.65923,143.29532
3496015967769602979,150.21502984144308,2.374272363518333,5,5,6,6,6,0.011463421,0.10731965,0.10663681,-0.16416009,-0.32451206,9.851772,11.170594,0.818855,14.013565,3.5113912,16.125021,56.98982,32.18623,-7.9551883,72.499886,2.2178094,22.33604,-4.159785,27.9712,-33.731155,32.403816,66.03079,64.57583,-70.44431,145.35458
3496015967769602980,150.26390704144262,2.327724777584541,4,4,7,7,7,0.08149826,0.10013868,0.06807104,-0.26114625,0.65235466,14.604597,11.166968,4.4279194,13.691711,12.938101,15.537838,-15.586525,29.289415,67.81123,63.177208,34.87885,22.718979,31.777922,27.900415,9.763316,31.534796,32.229774,58.946606,172.3213,128.41615
3496015967769602984,150.27609777364233,2.3638911039533226,5,4,7,7,7,0.057724986,0.02911219,-0.059224557,-0.23194878,0.34522137,18.959032,11.316167,-4.554653,16.225582,-6.9832172,15.66139,-28.016825,28.353214,-56.52777,66.595314,-2.3473372,23.786419,26.555315,32.97188,-6.208461,31.759678,-81.33597,57.637707,34.48892,135.73524
3496015967769602985,150.16927938650434,2.38554234160745,4,4,7,7,7,0.18102409,0.11192199,0.38211122,0.5569056,0.90879273,2.5804129,11.390577,33.951,14.529596,6.0187387,14.1688385,-28.78727,28.330734,-61.963577,65.52325,35.716667,23.070742,32.408615,29.511433,4.793062,28.708406,-1.776248,57.63084,-85.78367,132.97594
3496015967769602988,150.1815194234122,2.3229166553290943,4,4,6,6,6,0.07244163,0.14637029,0.084786616,-0.1424592,-0.13505046,7.5839825,12.81139,-0.7934807,15.769703,-17.344215,16.033989,-27.616444,32.6966,78.2874,73.71949,26.408699,26.00787,10.529931,31.901926,27.089912,32.67633,-92.10553,66.56457,160.7869,148.86288
3496015967769602990,150.1998223204971,2.4891423437321207,5,5,7,6,6,0.15770267,0.21369761,0.523562,0.7139446,0.21932021,7.9257035,10.511372,-3.7997978,12.517977,-9.817887,16.797022,0.06284392,32.67018,-1.1836139,75.82916,-4.1197433,21.772549,-39.69993,25.357111,18.36027,34.046417,-38.120888,66.338104,56.537766,153.77577
3496015967769602991,150.24863454862353,2.510796077324962,6,6,6,6,6,0.022778068,0.08280041,0.20462029,0.44175428,1.4316438,-22.399178,10.041571,-2.264534,13.109802,-27.190266,15.526478,-15.338589,31.812593,80.65022,74.167076,-33.7378,20.437094,9.589175,26.68494,-12.602217,31.534317,65.270226,64.692764,222.02327,150.55217
3496015967769602995,150.17464911849447,2.4168556697297854,4,4,6,6,6,0.007499441,0.05709131,0.08684201,-0.007182737,-0.030153608,0.5964251,11.447623,24.2399,13.755505,16.433464,17.386768,39.843307,34.07995,170.15477,78.80832,-0.42716327,23.134148,41.435593,27.857183,53.426243,34.61785,116.06497,69.64118,215.37996,159.21275
3496015967769602998,150.16240814917808,2.477100696345143,4,4,7,6,6,-0.006772772,-0.034206722,-0.0913343,-0.26406282,-0.0114045385,12.509261,11.098242,9.43891,13.417198,35.27546,15.242414,11.125131,31.016846,78.22358,70.579124,64.13303,22.483027,21.972988,27.213345,73.07623,30.979319,114.678055,63.44459,0.4963724,143.65749
3496015967769603000,150.2845050223259,2.3686975472722507,5,5,7,7,7,-0.016150067,-0.061032742,-0.14721431,-0.3071275,-0.2636746,-20.999407,10.926664,-2.6233914,13.701996,-24.749578,14.31151,-1.593157,28.229774,5.359252,64.77553,-8.78064,22.32477,-1.5764306,27.869259,7.0195165,29.081339,3.9592562,57.169743,157.17638,131.70432
